xrownum	Binomial	Genus	Family	Order
1	Castanea ×neglecta	Castanea	Fagaceae	Fagales
2	Castanea crenata	Castanea	Fagaceae	Fagales
3	Castanea dentata	Castanea	Fagaceae	Fagales
4	Castanea mollissima	Castanea	Fagaceae	Fagales
5	Castanea ozarkensis	Castanea	Fagaceae	Fagales
6	Castanea pumila	Castanea	Fagaceae	Fagales
7	Castanea sativa	Castanea	Fagaceae	Fagales
8	Chrysolepis chrysophylla	Chrysolepis	Fagaceae	Fagales
9	Chrysolepis sempervirens	Chrysolepis	Fagaceae	Fagales
10	Fagus grandifolia	Fagus	Fagaceae	Fagales
11	Fagus sylvatica	Fagus	Fagaceae	Fagales
12	Lithocarpus densiflorus	Lithocarpus	Fagaceae	Fagales
13	Notholithocarpus densiflorus	Notholithocarpus	Fagaceae	Fagales
14	Quercus ×acutidens	Quercus	Fagaceae	Fagales
15	Quercus ×alvordiana	Quercus	Fagaceae	Fagales
16	Quercus ×ashei	Quercus	Fagaceae	Fagales
17	Quercus ×atlantica	Quercus	Fagaceae	Fagales
18	Quercus ×basaseachicensis	Quercus	Fagaceae	Fagales
19	Quercus ×beadlei	Quercus	Fagaceae	Fagales
20	Quercus ×beaumontiana	Quercus	Fagaceae	Fagales
21	Quercus ×bebbiana	Quercus	Fagaceae	Fagales
22	Quercus ×beckyae	Quercus	Fagaceae	Fagales
23	Quercus ×benderi	Quercus	Fagaceae	Fagales
24	Quercus ×bernardiensis	Quercus	Fagaceae	Fagales
25	Quercus ×bimundorum	Quercus	Fagaceae	Fagales
26	Quercus ×blufftonensis	Quercus	Fagaceae	Fagales
27	Quercus ×brittonii	Quercus	Fagaceae	Fagales
28	Quercus ×burnetensis	Quercus	Fagaceae	Fagales
29	Quercus ×bushii	Quercus	Fagaceae	Fagales
30	Quercus ×byarsii	Quercus	Fagaceae	Fagales
31	Quercus ×caduca	Quercus	Fagaceae	Fagales
32	Quercus ×caesariensis	Quercus	Fagaceae	Fagales
33	Quercus ×capesii	Quercus	Fagaceae	Fagales
34	Quercus ×cocksii	Quercus	Fagaceae	Fagales
35	Quercus ×columnaris	Quercus	Fagaceae	Fagales
36	Quercus ×comptoniae	Quercus	Fagaceae	Fagales
37	Quercus ×cravenensis	Quercus	Fagaceae	Fagales
38	Quercus ×deamii	Quercus	Fagaceae	Fagales
39	Quercus ×demareei	Quercus	Fagaceae	Fagales
40	Quercus ×discreta	Quercus	Fagaceae	Fagales
41	Quercus ×diversiloba	Quercus	Fagaceae	Fagales
42	Quercus ×dysophylla	Quercus	Fagaceae	Fagales
43	Quercus ×egglestonii	Quercus	Fagaceae	Fagales
44	Quercus ×eplingii	Quercus	Fagaceae	Fagales
45	Quercus ×exacta	Quercus	Fagaceae	Fagales
46	Quercus ×faxonii	Quercus	Fagaceae	Fagales
47	Quercus ×fernaldii	Quercus	Fagaceae	Fagales
48	Quercus ×fernowii	Quercus	Fagaceae	Fagales
